Algorithm,budget,f(S),Number of query,running time
Greedy,1,0.14765519045282882,23,0.0
Repeated Greedy,1,0.14898290182892035,141,0.003993511199951172
Simultaneous Greedy,1,0.13577820163652948,81,0.0010302066802978516
FANTOM,1,0.14898290182892035,829,0.013649225234985352
SPROUT++,1,0.14898290182892032,360,0.008139371871948242
TwinGreedy2,1,0.14898290182892035,102,0.0019996166229248047
Algorithm3ITW,1,0.14898290182892032,102,0.001997232437133789
Greedy,1,0.14765519045282882,23,0.0010144710540771484
Repeated Greedy,1,0.14898290182892035,141,0.003408193588256836
Simultaneous Greedy,1,0.13577820163652948,81,0.0009660720825195312
FANTOM,1,0.14898290182892035,829,0.018937349319458008
SPROUT++,1,0.14898290182892032,360,0.011519670486450195
TwinGreedy2,1,0.14898290182892035,102,0.002998828887939453
Algorithm3ITW,1,0.14898290182892032,102,0.004060506820678711
Greedy,1,0.22632324329065923,140,0.010196685791015625
Repeated Greedy,1,0.22632324329065923,604,0.03762984275817871
Simultaneous Greedy,1,0.24143453987164742,518,0.02686142921447754
FANTOM,1,0.25314141742915913,71466,3.6273608207702637
SPROUT++,1,0.24607742317695794,23591,1.3985788822174072
TwinGreedy2,1,0.24028246951211213,1195,0.06038546562194824
Algorithm3ITW,1,0.2402824695121121,1195,0.04350018501281738
Greedy,1,0.22632324329065923,140,0.008255720138549805
Repeated Greedy,1,0.22632324329065923,604,0.03947710990905762
Simultaneous Greedy,1,0.24143453987164742,518,0.032041311264038086
FANTOM,1,0.25314141742915913,71466,3.4939844608306885
SPROUT++,1,0.24607742317695794,23591,1.5209312438964844
TwinGreedy2,1,0.24028246951211213,1195,0.062131404876708984
Algorithm3ITW,1,0.2402824695121121,1195,0.04646778106689453
